District,X,Y,,,,,,,,
ALBERT PARK,2495071.386,2406898.357,,,,,,,,
ASHWOOD,2509601.125,2403743.494,,,,,,,,
BASS,2548660.07,2345591.015,,,,,,,,
BAYSWATER,2523176.344,2404608.426,,,,,,,,
BELLARINE,2462485.429,2366154.731,,,,,,,,
BENAMBRA,2712703.279,2573230.751,,,,,,,,
BENDIGO EAST,2437142.267,2547711.455,,,,,,,,
BENDIGO WEST,2420131.179,2504796.281,,,,,,,,
BENTLEIGH,2504959.99,2396774.358,,,,,,,,
BERWICK,2532382.171,2384103.259,,,,,,,,
BOX HILL,2511244.201,2408505.357,,,,,,,,
BRIGHTON,2500295.782,2398799.253,,,,,,,,
BROADMEADOWS,2494951.894,2423966.78,,,,,,,,
BRUNSWICK,2497037.895,2414231.673,,,,,,,,
BULLEEN,2511293.865,2414961.616,,,,,,,,
BUNDOORA,2506398.793,2422257.024,,,,,,,,
CARRUM,2516468.67,2380013.634,,,,,,,,
CAULFIELD,2501765.01,2402103.18,,,,,,,,
CLARINDA,2510072.966,2393306.449,,,,,,,,
CRANBOURNE,2524505.108,2375964.211,,,,,,,,
CROYDON,2525642.873,2410940.925,,,,,,,,
DANDENONG,2518692.797,2389405.015,,,,,,,,
EILDON,2577149.512,2460673.338,,,,,,,,
ELTHAM,2513832.571,2422629.709,,,,,,,,
ESSENDON,2492458.398,2416176.791,,,,,,,,
EUREKA,2410711.659,2412139.587,,,,,,,,
EUROA,2527758.568,2526384.967,,,,,,,,
EVELYN,2536305.984,2417623.75,,,,,,,,
FOOTSCRAY,2489840.515,2411887.027,,,,,,,,
FRANKSTON,2512301.608,2372095.533,,,,,,,,
GEELONG,2433228.495,2378901.699,,,,,,,,
GIPPSLAND EAST,2762378.444,2447311.896,,,,,,,,
GIPPSLAND SOUTH,2633895.707,2337642.339,,,,,,,,
GLEN WAVERLEY,2515577.369,2403495.16,,,,,,,,
GREENVALE,2491200.742,2429169.865,,,,,,,,
HASTINGS,2515616.212,2358212.895,,,,,,,,
HAWTHORN,2505280.786,2407728.99,,,,,,,,
IVANHOE,2505718.225,2416948.181,,,,,,,,
KALKALLO,2492982.858,2443990.612,,,,,,,,
KEW,2505449.911,2411173.591,,,,,,,,
KOROROIT,2473799.445,2415384.315,,,,,,,,
LARA,2444737.603,2392529.294,,,,,,,,
LAVERTON,2480402.252,2408891.548,,,,,,,,
LOWAN,2225075.548,2505041.642,,,,,,,,
MACEDON,2452834.738,2465785.566,,,,,,,,
MALVERN,2503830.246,2404465.78,,,,,,,,
MELBOURNE,2495309.815,2410708.495,,,,,,,,
MELTON,2461599.123,2424313.396,,,,,,,,
MILDURA,2240794.578,2698370.312,,,,,,,,
MILL PARK,2505903.127,2428866.494,,,,,,,,
MONBULK,2539692.459,2399370.886,,,,,,,,
MORDIALLOC,2511718.796,2387039.157,,,,,,,,
MORNINGTON,2507349.824,2360652.694,,,,,,,,
MORWELL,2628228.211,2363407.65,,,,,,,,
MULGRAVE,2515325.714,2396109.772,,,,,,,,
MURRAY PLAINS,2406390.237,2624143.656,,,,,,,,
NARRACAN,2595086.679,2389499.449,,,,,,,,
NARRE WARREN NORTH,2525574.169,2390084.858,,,,,,,,
NARRE WARREN SOUTH,2525124.511,2382710.388,,,,,,,,
NEPEAN,2495576.135,2345084.646,,,,,,,,
NIDDRIE,2487465.533,2418734.627,,,,,,,,
NORTHCOTE,2500826.765,2414762.096,,,,,,,,
OAKLEIGH,2509057.632,2399508.535,,,,,,,,
OVENS VALLEY,2639630.727,2541360.092,,,,,,,,
PAKENHAM,2541323.935,2381620.364,,,,,,,,
PASCOE VALE,2495920.394,2418290.217,,,,,,,,
POINT COOK,2476534.15,2398348.8,,,,,,,,
POLWARTH,2367090.376,2351927.288,,,,,,,,
PRAHRAN,2499055.072,2406271.279,,,,,,,,
PRESTON,2500666.44,2420130.553,,,,,,,,
RICHMOND,2499816.388,2410001.92,,,,,,,,
RINGWOOD,2518627.588,2409076.259,,,,,,,,
RIPON,2362112.019,2498761.767,,,,,,,,
ROWVILLE,2521563.889,2398949.018,,,,,,,,
SANDRINGHAM,2502952.848,2392825.569,,,,,,,,
SHEPPARTON,2530498.488,2594619.909,,,,,,,,
SOUTH BARWON,2434915.693,2365402.298,,,,,,,,
SOUTH-WEST COAST,2241580.189,2366289.167,,,,,,,,
ST ALBANS,2483371.421,2416831.14,,,,,,,,
SUNBURY,2478129.318,2434717.378,,,,,,,,
SYDENHAM,2475321.71,2423329.716,,,,,,,,
TARNEIT,2469609.46,2407211.292,,,,,,,,
THOMASTOWN,2499887.888,2430492.361,,,,,,,,
WARRANDYTE,2520616.071,2416153.646,,,,,,,,
WENDOUREE,2396555.266,2436876.757,,,,,,,,
WERRIBEE,2461862.628,2400246.878,,,,,,,,
WILLIAMSTOWN,2486428.896,2405981.707,,,,,,,,
YAN YEAN,2510423.457,2447561.874,,,,,,,,
